Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
Between Us Special,Thailand , As:  Between Us Special Episodes  ,8.4,"2,932","Special episodes of ''Between Us'', with scenes that will not be in the series.

(Source: FlorDeLizza at MyDramaList) ","Romance,  Life ",Gay Relationship LGBTQ+ Web Series Gay Romance Gay Male Lead Short Length Series Miniseries Student Male Lead Dormitory Setting Fluffy,,
His Man Season 1,South Korea ,11,8.4,"2,227","As South Korea's very first gay dating reality series, ""His Man"" brings together a group of eight hot, sexy, free and single gay men to a shared house where they are to live, interact and open up to each other in their quest for “true love”.

(Source: Gagaoolala) ","Romance,  Life ",Gay Romance Dating Show Reality Show LGBTQ+ Camping Trip Matchmaking Jealousy Coming Out Cohabitation Love Square,,
Liar Game: The Final Stage,Japan ,,8.4,"4,376","Even though being able to withdraw from the Liar Game Tournament, Kanzaki Nao decides to join Akiyama Shinichi and nine other players for the final stage, ”The Garden of Eden game”, which offers a 5 billion yen prize. The players are informed that if all of them can work together, they can all become winners. However, the chances of winning are endangered by a mysterious player known as ""Person X"". ","Thriller,  Psychological,  Life ",Debt Smart Male Lead Calm Male Lead Game Adapted From A Manga Character Development Friendship Suspense,Matsuyama  Hiroaki ,"Kuroiwa Tsutomu,  Okada Michitaka "
I'm Not a Robot,South Korea ,32,8.4,"56,305","Kim Min Kyu is the largest shareholder of a financial company. He suffers from a ""human allergy"", preventing him from normal interactions with other people. He becomes interested in a robotic project named Aji-3 created by the Santa Maria robotic team. The team is headed by Hong Baek Gyun, inventor of Aji-3 and world-renowned robotics professor. He modeled Aji-3 after his ex-girlfriend, Jo Ji Ah, a struggling inventor that also works as a personal shopper to make ends meet. 

Just when Kim Min Kyu wants to test the robot, an accident causes the malfunction of the robot's battery. Hong Baek Gyun begs Jo Ji Ah to take the place of Aji-3 and pretend to be the robot so they can get funding from Kim Min Kyu. But, Aji-3 becomes the closest thing that the lonely Min Kyu has to real contact with another person.

(Source: MyDramaList)","Comedy,  Romance,  Drama,  Sci-Fi ",Haphephobia Rich Male Lead Deception Robot Eccentric Male Lead Hardworking Female Lead Forgiveness Lying Double Identity Healing,Jeong Dae Yun ,Kim Sun Mi 
BTS Dynamite Comeback Commentary,South Korea ,1,8.4,360,BTS Comeback Commentary show for Dynamite ,"Music,  Documentary ",K-Pop BTS Friendship,,
The Admiral: Roaring Currents,South Korea ,,8.4,"2,151","In the year 1597, when the Joseon Dynasty faces imminent ruin by the Japanese, disgraced Admiral Yi Sun Shin is summoned as a last resort to lead the kingdom’s remaining 12 ships and an army of doubtful soldiers against the Emperor’s 330 strong fleets.

(Source: CJ Entertainment) ","Action,  Historical,  Drama,  War ",General Male Lead Soldier Supporting Character Historical Fiction Joseon Dynasty Based On True Story Military,Kim Han Min ,Jeon Cheol Hong 
EXO's First Box,South Korea ,4,8.4,288,"“EXO’s First Box” will include cuts from their first album activities, their fan signing event, and also reveal what went on behind the scenes at their overseas concerts, “Hong Kong Dome Festival” and “SMTown Live World Tour in Beijing,” as well as reveal previously unseen clips of the EXO members on holiday in Hong Kong, playing games and cooking, and generally enjoying their free time together.

(Source: Soompi) ",Music ,EXO K-Pop,,
Space Sweepers,South Korea ,,8.4,"15,556","It’s 2092, and space is littered with floating satellites and deserted spaceships. The crew of the junk collector ship, The Victory, travels throughout space looking for saleable garbage. With heavy competition from other junk collector ships, speed is the key to beating their rivals from other nations.

When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal. (Source: MyDramaList)","Action,  Adventure,  Drama,  Sci-Fi ",CGI Outer Space Future Robot Badass Female Lead Friendship Fight Poor Male Lead Family Relationship Teamwork,er & Director: Jo Sung Hee ,"Yoon Seung Min,  Yoo Kang Seo Ae "
The Mysterious Class,South Korea ,8,8.4,"2,012","""There are 21 students in our class.""  
""What are you talking about... Your class had 20 students right from the start..!!""

Peaceful class 4 of the 3rd grade of Treasure High. Friendship and a mystery thriller while doubting each other. Will they be able to find the ghost?

(Source: BambooNetwork.co.kr) ","Mystery,  Horror,  Youth,  Supernatural ",Student Ghost Investigation High School Suspense School Setting Miniseries Web Series Friendship,Ha Han Me ,
Tale of the Nine Tailed: An Unfinished Story,South Korea ,3,8.4,"1,605","The 3 episode spinoff will tell the story of Lee Rang and Ki Yoo Ri before and during the events of ""Tale of the Nine-Tailed."" ","Action,  Fantasy,  Melodrama ",Nine-tailed Fox Half-brothers' Relationship Short Length Series Mythical Being Spirit Miniseries Reincarnation Supernatural Friendship,,Han Woo Ri 
SuperM: The Beginning,South Korea ,2,8.4,315,"The mega project idol group SuperM is here to meet its fans through the special show 'SuperM the Beginning'. You can find out everything about SuperM's debut in the States from how the members prepared and actually held the showcase to how they spend their free time in the mansion in which they live together. Moreover, SuperM's special performances are revealed exclusively for the first time.

(Source: Viki) ","Music,  Documentary ",WayV SuperM NCT 127 NCT DREAM EXO Singing K-Pop NCT Dance SHINee,,
Scarlet Heart,China ,35,8.4,"5,032","A car accident sends Zhang Xiao back in time into the body of one of her previous reincarnations, a 16-year-old aristocratic Manchu girl, Maertai Ruoxi, who lived during the Qing Dynasty. Despite knowing that she shouldn’t get involved in palace intrigue over the succession to the throne, Ruoxi became a pawn in the struggle, since she couldn’t help but love someone, as others came to love her.

~~ Adapted from the novel ""Bu Bu Jing Xin"" (步步惊心) by Tong Hua (桐华).","Historical,  Romance,  Drama,  Political ",Power Struggle Strong Female Lead Smart Female Lead Qing Dynasty Sibling Rivalry Time Travel Male Chases Female First Adapted From A Novel Kangxi Emperor Reverse-Harem,"Lin Yu Fen,  Lee Kwok Lap ","Mo Bao Fei Bao,  Wong Lei Chi "
A Little Red Flower,China ,,8.4,639,"The film tells a warm and realistic story, thinking and facing the ultimate problem that every ordinary person will face-imagining that death may come at any time, the only thing we have to do is love and cherish.

(Source: IMDb) ","Life,  Youth,  Drama ",Nice Female Lead Reality Or Dream Caring Parents Optimistic Female Lead Search For Happiness Family Relationship Healing Traveling Illness Cancer,Han Yan ,Li Han 
24/365 with BLACKPINK: Prologue,South Korea ,1,8.4,332,In this special prologue episode of BLACKPINK's new reality series the members hold a short press conference in order to share their thoughts about the new show and give fans an idea of what they can expect from the series. ,"Music,  Life ",BLACKPINK K-Pop Variety Show Reality Show Friendship,,
Immortal Samsara: Part 1,China ,38,8.4,"4,105","Yan Dan is the sole descendant of the ancient tribe the Four-Leaved Lotus.  Yan Dan’s entire being is a treasure trove of medicines.  She and twin sister Zhi Xi transformed into human form a century before while attending the Queen Mother's Feast, but Yan Dan faced the greatest trial of her life - the love trial. Falling in love with Lord Ying Yuan resulted in her wasting the following  900 years trying to forget him. Such a high price to pay! 

Now the supportive Yu Mo enters her life, encouraging her daily to perform good deeds. While punishing evil, they encounter Lord Ying Yuan's current reincarnation, Tang Zhou, the demon hunter. They assist Tang Zhou in his quest to locate the four ancient artifacts, uncovering an even more mysterious secret. Can the trio find the evidence they need despite the dangers?  

(Source: DramaWiki, edited by Lee C at MyDramaList)

~~ Adapted from the novel ""Chen Xiang Ru Xie"" (沉香如屑) by Su Mo (苏寞).","Romance,  Wuxia,  Drama,  Fantasy ",Xianxia Adapted From A Novel Love Triangle Star Crossed Lovers Strong Male Lead Strong Female Lead Cold Man/Warm Woman Martial Arts Adventure Reincarnated Lovers,"Guo Hu,  Ren Hai Tao ","Zhang Yuan Ang,  Bai Yi Cong "
American Hustle Life,South Korea ,8,8.4,"1,481","BTS American Hustle Life is a reality show with the BTS members, they were thinking they were going to the US to travel for a new album, but they found out they were training with their new hip-hop tutors, Coolio and Warren G. ",Documentary ,K-Pop Hip Hop BTS Reality Show,,
Unforgettable Love,China ,24,8.4,"14,807","The drama revolves around He Qiao Yan, CEO of Heshi Group, and Qin Yi Yue, a child psychologist. It tells the story of a rational and indifferent man and a soft, optimistic, considerate, and meticulous psychologist, whose relationship develops from acquaintance to love.

(Source: MyDramaList)

~~ Adapted from the web novel ""Mr He's Love is Not Forgotten"" (贺少的闪婚暖妻) by Qin Ye (秦页). ","Comedy,  Romance,  Drama ",Contract Relationship Rich Male Lead Rich Man/Poor Woman Male Chases Female First Childhood Trauma Healing Multiple Couples Overbearing CEO Cold Man/Warm Woman Adapted From A Web Novel,Li Yu Lei ,
The Warp Effect,Thailand ,12,8.4,"2,234","Alex breaks the oath he made to his mother forbidding him from losing his virginity before turning eighteen, causing chaos he never could've anticipated. 

In 2011, seventeen-year-old Alex lacks self-confidence and his one passion in life is photography. His household is all male, his mother having died in an accident. Before she passed, she made him promise to hold onto his virginity until the right time. However, it's nearly unbearable; his closest friends See-ew and Nim have already given up theirs, leaving only him. He, therefore, aims to lose it at Jedi's house party.

School activist Jean goes to the party and it seems as though he'll lose his virginity to her. The evening turns to chaos, though, and Alex wakes up with no memory of what happened. He's aged into a man of twenty-seven: a gynecologist and sex expert. He must solve the mystery of that night and all the mess that followed using a polaroid of that night. Will he be able to return to the past?

(Source: Thai = GMMTV || Translation = MyDramaList)","Mystery,  Comedy,  Romance,  Supernatural ",Time Travel Feminist Message Sex Education LGBTQ+ Sexual Content Nonbinary Supporting Character Friendship Virgin Male Lead Friends With Benefits Multiple Couples,er & Director: Jojo Tichakorn Phukhaotong ,"Game Kirati Kumsat,  Chim Sedthawut Inboon,  Chalermpong Udomsilp "
Off Gun Fun Night Extra,Thailand ,4,8.4,270,"Scenes from Off Gun Fun Night that didn't make the cut. 

(Source: MyDramaList) ",Comedy ,Variety Show Talk Show,,
Nine: Nine Times Time Travel,South Korea ,20,8.4,"5,534","Park Sun Woo works as an anchorman at a TV broadcasting station. He is in love with news reporters Joo Min Young, who is bright and honest. Park Sun Woo then obtains 9 incense items, which allows him to go back 20 years in time. Sun Woo travels to the past in an attempt to keep his family safe in order to change the world he lives in today. However, this is not without consequences for his actions in the past affects the lives of many in the present, including his crush.

(Source: Asianwiki, Wikipedia)","Mystery,  Romance,  Supernatural ",Time Travel 1990s Bromance Female Chases Male First Announcer Male Lead Reporter Female Lead Magical Object Arrogant Male Lead Brain Tumor Hidden Past,Kim Byung Soo ,"Song Jae Jung,  Kim Yoon Joo "
It's Dangerous Beyond the Blankets: Pilot,South Korea ,4,8.4,"1,359","Some people like to stay at home doing nothing, and they called as “Homebody”. However, five homebody celebrities join this show to stay together and spend a holiday together. Actor Lee Sang Woo, Kang Daniel of Wanna One, Yong Jun Hyung of Highlight, Xiumin of Exo, and Singer Park Jae Jung move into the same house. Will they be able to get along together? ","Adventure,  Comedy,  Life ",EXO Highlight Wanna One K-Pop Travel Show Bromance Reality Show Friendship,,
Crime Scene Season 2,South Korea ,12,8.4,440,,"Thriller,  Mystery,  Comedy ",Deception Investigation Suspense Death Murder Detective Fiction Investigator Female Lead Investigator Male Lead Revenge Killing Greed,,
The Genius: Rules of the Game,South Korea ,12,8.4,435,"The Genius brings together 13 contestants to compete for big sum of money in games involving intelligence. 
Every episode one of contestants gets eliminated. ",Psychological ,INFINITE Game Show,Jung Jong Yeon ,
Pachinko,South Korea ,8,8.4,"4,320","This sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive.  

(Source: AppleTV)

~~ Adapted from the novel ""Pachinko"" by Min Jin Lee (이민진). ","Historical,  Romance,  Drama,  Melodrama ",Co-produced Discrimination Immigrant Adapted From A Novel Abuse Of Power Racism Japanese Colonial Rule 1980s Forbidden Love Miniseries,,Soo Hugh 
The Crowned Clown,South Korea ,16,8.4,"9,190","Joseon is in a state of disorder due to uprisings and a power struggle surrounding King Lee Hun. To avoid assassination, a clown named Ha Sun is brought to the palace to take the place of King Lee Hun. Ha Sun looks almost identical to King Lee Hun.

When Ha Sun was a child, his parents died during an epidemic. Ha Sun almost died from starvation around that time, but he was saved by a group of clowns. Ha Sun grew up with the clowns and became one of them. During their performance, Ha Sun would play King Lee Hun due to their similar physical appearance. Now, Ha Sun is nervous that someone in the palace will find out he is not the real king. He falls for beautiful Queen Yoo So Woon.

(Source: AsianWiki, HanCinema)

~~ Remake of ""Masquerade"" (2012), which in turn is inspired by ""The Prince and the Pauper"" by Mark Twain.","Historical,  Romance,  Melodrama,  Political ",Double Identity Joseon Dynasty Noble Woman/Common Man Identity Swap Power Struggle Nice Male Lead Doppelganger Revenge Rebellion Poor Male Lead,Kim Hee Won ,"Shin Ha Eun,  Kim Sung Deok "
Birthcare Center,South Korea ,8,8.4,"3,264","Oh Hyun Jin  has had a glittering career in her work life. She is the youngest member on the board of executives at the company she works at and is used to acing everything she does. But when she delivers her first child, she is in for a shock. Giving birth was far more difficult than she had expected, and she quickly discovers that although she is a dab hand at all things work-related, she hasn’t got the first clue about how to bring up a baby. After being discharged from hospital, she heads to a birth care center – an exclusive establishment where even A-list stars come to get postpartum care. She is dismayed to realize that she is the oldest mother in the center, and embarrassed to notice that everyone else seems to know what they are doing when it comes to looking after babies
Fortunately, the other mothers at the center prove inspirational. Among their number is Cho Eun Jung, aka the Queen Bee – a seemingly perfect mother whom everyone wants to befriend in order to learn childcare secrets. And Choi Hye Sook is the charismatic center manager – a veritable font of knowledge about all things childcare-related.

(Source: Viki)","Comedy,  Life,  Drama,  Melodrama ",Motherhood Childbirth Strong Female Lead Older Woman/Younger Man Sismance Black Comedy Hardworking Female Lead Independent Female Lead Multiple Mains Pregnancy,Park Soo Won ,Kim Ji Soo 
Love and Destiny,China ,60,8.4,"4,292","A love story between the God of War and a young maiden whose very existence can bring harm to the world.

Fifty thousand years ago, Jiu Chen, known as the god of war, fell into a deep slumber after sealing away the demon lord. Ling Xi accidentally wakes him from his sleep and they fall in love. It is discovered that Ling Xi was born with an evil miasma that can help the demon lord break free and allow the demon tribe to rise to power. 

Jiu Chen refuses to kill an innocent and tries to change Ling Xi's fate. Through the encouragement of Jiu Chen, Ling Xi who was once innocent and naive transforms into a brave leader in a fight against evil.

(Source: ChineseDrama.info)","Romance,  Wuxia,  Drama,  Fantasy ",Xianxia Dragon Power Struggle Older Man/Younger Woman Strong Male Lead Multiple Couples Lovers Separated Female Chases Male First Interspecies Romance Chinese Mythology,"Lin Yu Fen,  Leung Sing Kuen,  Guo Hu,  Ren Hai Tao ","Xiao Xiang Dong Er,  Chen Li Wen,  Jiang Yue Hua "
Good Girl,South Korea ,8,8.4,615,"""Good Girl” will feature some of the best female hip hop and R&B artists around the country, including underground rappers, current idols, and popular artists. These artists will be put on a team together and will complete quests in order to win a prize.

(Source: Soompi) ",Music ,Rap Music Show R&B Hip Hop KARD CLC Girls' Generation (SNSD) Reality Show Troy DKZ,,
When We Were Young,China ,24,8.4,"7,074","A nostalgic story that revolves around high school students during the year 1996.

While chasing down a bike thief during the summer, Yang Xi gets injured by a lab explosion that renders her unable to compete in a long-distance run. When school opens, she realizes that the culprit behind her misfortune has transferred to her class and has even taken her position as class president. He is Hua Biao, a hot-blooded, rash and gifted genius of the science department. Hua Biao's arrival immediately puts his classmates on guard and he must prove himself to be accepted by the class. Later on, they go through lots of ups and downs in life.

(Source Chinesedrama.info)","Romance,  Youth ",Smart Male Lead Nice Male Lead Poor Male Lead Adapted From A Novel 1990s High School Strong Female Lead Sports School Setting Childhood Friends' Relationship,"Deng Ke,  Roger Lau ",Sun Xiao 
The Great Escape: Season 4,South Korea ,13,8.4,386,"Consists of the cast members becoming trapped in giant, fictional worlds, where they must unravel each step of the story in order to ""escape"".

(Source: Allkpop) ","Mystery,  Comedy ",Koyote Escape Room Block B Teamwork Super Junior Variety Show Game Show Investigation,Jung Jong Yeon ,
Keep Running Season 7,China ,12,8.4,420,"Keep Running is a reality-variety show where stars 7 regular members. In each episode, they must complete missions at famous landmarks to win the race. The missions almost always feature running, hence the title, and the name tag ripping. ","Food,  Adventure,  Comedy,  Life ",Variety Show SuperM Game Show WayV Nine Percent Fahrenheit (Group) C-Pop (G)I-dle Running GOT7,Yao Yi Tian ,
Moonlight,China ,36,8.4,"6,314","After graduating university with a major in financing, Chu Li successfully enters her dream company, Yuan Yue Publishing House. However, a challenging path lies ahead of her when she finds out that the publishing industry at this time has undergone huge changes. There she meets author Zhou Chuan, who is said to be gentle as a jade when he’s really not. The two are immediately at odds, with Zhou Chuan later discovering that Chu Li is his online friend, Monkey. 

(Source: DramaWiki, dramapanda)

~~ Adapted from the web novel ""Here's Chu Li"" (初礼来了) by Qing Mei (青浼).","Business,  Comedy,  Romance,  Drama ",Hardworking Female Lead Tsundere Cohabitation Meet Online Jealousy Childish Male Lead Nice Male Lead First Love Writer Male Lead Secondary Couple,Elson Chang ,
Recipe for Farewell,South Korea ,12,8.4,512,"Chang Wook is in his 40's. He works as a translator and a humanities instructor. His wife suffers from terminal bowel cancer. She also has difficulties eating, because of digestive problem. She asks Chang Wook to cook for her everyday, even though the only thing he knows how to make is ramen. Chang Wook begins to cook for his wife and she eats little bits of his food, which he cooks with love and care.

(Source: AsianWiki)

~~ Adapted from the non-fiction novel ""Oneuleun Jom Maewoolji Molla"" (오늘은 좀 매울지도 몰라) by Kang Chang Rae (강창래).
~~ Release dates: Oct 6, 2022 (Busan International Film Festival) || Dec 1, 2022","Food,  Life,  Drama ",Married Female Lead Married Male Lead Translator Male Lead Teacher Male Lead Married Life Caring Male Lead Brave Female Lead Family Relationship Death Cancer,er & Director: Lee Ho Jae ,
Kono Sekai no Katasumi ni,Japan ,9,8.4,393,"18-year-old Urano Suzu marries Hojo Shusaku and moves from Eba City to Kure City in Hiroshima Prefecture in the middle of the Pacific War. As Japan slides into a war it cannot get out of, the townspeople go on with their “ordinary” lives. Supplies are short, and family and friends get sent to the battlefield. Suzu and the Hojo family battle such anxieties as they try to live positively.

(Source: jdramas.wordpress)

~~ Adapted from the manga “Kono Sekai no Katasumi ni” by Fumiyo Kouno.","Historical,  Romance,  Life,  War ",Adapted From A Manga World War 2 Unrequited Love Childhood Friends' Relationship Married Female Lead Married Male Lead Hardship Sisters' Relationship Historical Fiction Flashback To Past,"Doi Nobuhiro,  Yoshida Ken ",Okada Yoshikazu 
The Forbidden Marriage,South Korea ,12,8.4,"5,748","Lee Heon is the king of Joseon. 7 years ago, when he was a crown prince, his beloved wife died. To this day, he has not been able to get over her death. For the past 7 years, the royal family and government members have tried to get King Lee Heon remarried without success. The nation has also implemented a geumhonryung edict, which is a ban on all single women marrying during this time when the king has not married. People are furious over the marriage ban. One day, King Lee Heon hears of a woman named Ye So Rang, who claims the spirit of the king's late wife exists within the royal palace.

Meanwhile, Ye So Rang is a swindler and claims to interpret marital harmony signs. She is arrested and jailed where Officer Lee Shin Won works. To get out of her predicament, she pretends to be possessed by a spirit in front of Lee Shin Won. During her ruse, she mentions that the spirit of King Lee Heon's late wife exists within the royal palace. She is then brought in front of the king and he asks her if she can really see his late wife's spirit. To survive, Ye So Rang acts like her body is possessed by the king's late wife. Ye So Rang's lies get bigger and more audacious.

(Source: AsianWiki)

~~ Adapted from the webtoon ""Geumhonryeong: Joseon Honin Geumjiryeong"" (금혼령-조선혼인금지령) by Chun Ji Hye (천지혜).","Historical,  Mystery,  Comedy,  Romance ",Joseon Dynasty Historical Fiction Deception Love Triangle King Male Lead Swindler Female Lead Fake Powers Mourning Hidden Identity Kidnapping,"Jung Hoon,  Park Sang Woo ",Cheon Ji Hye 
Legend of Fu Yao,China ,66,8.4,"8,367","Adopted as an orphan, Fu Yao served as a slave for the Xuan Yuan sect in the Taiyuan Kingdom. After a series of tragedies, she journeyed across the lands searching to lift the curse that blighted her life. Along the way, she meets the Crown Prince of Tianquan, Zhang Sun Wu Ji, and falls in love with him. Together, they tackle political issues in the five kingdoms and unearth secrets regarding her birth.

(Source: Wikipedia)

~~ Adapted from the novel ""Empress Fuyao"" (扶摇皇后) by Tian Xia Gui Yuan (天下归元).","Romance,  Wuxia,  Fantasy ",Badass Female Lead Strong Female Lead Badass Male Lead Female Lead Action Scenes Smart Male Lead Hidden Identity Adapted From A Novel Sword-fight Male Chases Female First Secondary Couple,"Vincent Yang,  Xie Ze,  Li Cai ",Xie Yan Yan 
Hit the Spot,South Korea ,8,8.4,"3,109","A warm, friendly, considerate person, Hee Jae is surrounded by people who claim to know and love her. The problem for Hee Jae is that she isn’t really sure if she really understands herself. On the other hand, Mi Na is Hee Jae's confident and energetic best friend and colleague at Play Books, a supplier of books and related products centered around sex and romance. While an expert in how to achieve physical pleasure, her understanding falls short on romantic relationships. When they find themselves told to take over hosting a sex and romance advice podcast, the two feel more than a little lost.

Having never experienced an orgasm or explored her own sexuality beyond routine, lifeless intercourse with her boyfriend of five years, Hee Jae isn’t the most qualified person to be hosting a sex advice podcast. Trapped in a loveless routine of emotionally detached, no strings attached casual sex, Mi Na is hardly one to ask for advice on committed romantic relationships. With no one else able to take over the program, though, they really don’t have a choice. 

Suddenly thrust into a world she doesn’t understand, Hee Jae finds herself opening up to new ideas and starts to explore her own body and seek out new experiences. Fed up with cycling through men who only satisfy her body and nothing more, Mi Na, too, desperately wants things to change.

Pooling their lifetime of experiences and newfound knowledge, Mi Na and Hee Jae decide to make a major life change by opening a sex counseling service together. Working to help others find personal satisfaction, will these friends find the satisfaction they both so crave?

(Source: Viki, MyDramaList)","Romance,  Drama,  Mature ",Social Commentary Life Lesson Female Centered Plot Extreme Sexual Content Prolonged Nudity Best Friends' Relationship Counselor Female Lead Masturbation Self-love Sex Education,Yoon Ra Young ,
Mysterious Kitchen,South Korea ,3,8.4,195,"Lee Know, I.N and Han cook comfort food according to anonymous letters written by Stray Kids members.

(Source: MyDramaList) ","Food,  Mystery,  Comedy ",Stray Kids K-Pop Cooking Show Investigation,,
HiGH&LOW the Movie 2: END OF SKY,Japan ,,8.4,982,"Members of SWORD win against Wangan Rengogun, which is led by Kohaku. The city becomes peaceful again.
Nevertheless, the most brutal gangs appear. The gangs are Doubt, led by Hayashi Ranmaru, and Prison Gang, led by Jeshi. These gangs try to dominate the area controlled by SWORD. The new gangs also go up against other gangs in the area. Finally, Doubt, with help from the Prison Gang, challenges White Rascals to fight.

(Source: AsianWiki) ","Action,  Crime,  Youth ",Gang Bromance Violence Friendship Fight Street Fight Badass Male Lead Mafia Yakuza,"Kubo Shigeaki,  Nakakuki Tsuyoshi ","Kamijo Daisuke,  Hiranuma Norihisa,  Watanabe Kei "
A River Runs Through It,China ,36,8.4,"4,789","Transferring to a new school right before the national college entrance exams was not part of Xia Xiao Ju’s plan. But when life demanded that she do exactly that, the only thing she could do was try to make the best of it. Feeling completely flustered in her new surroundings, settling in was difficult at best; but when a misunderstanding brings an unexpected group of classmates into her life, things for Xiao Ju finally start to look up.

Now surrounded by a group of friends, including the compassionate Cheng Lang, the straightforward Lu Shi Yi, the frequently dazed Qiu Yue Tao, and her new best friend Lin You, Xiao Ju feels ready to take on whatever life throws at her next. Tackling the college entrance exams with her friends at her side, Xiao Ju is certain she can take on anything. But after starting university, Xiao Jun’s confidence is put to the ultimate test when she realizes that the boy she loves only has eyes for Lin You. 

Struggling to make sense of the complicated world of love and friendship, Xiao Ju relies heavily on the strength and support of Shi Yi. Little does she realize that Shi Yi has developed rather strong feelings for her. Will her longing for another keep her blind to the love before her or will Shi Yi’s patience pay off in the end?

(Source: Viki)

~~ Adapted from the novel ""Yan Lei De Shang You"" (眼泪的上游) by Ming Qian Yu Hou (明前雨后).","Comedy,  Romance,  Life,  Youth ",Friendship Student Friends To Lovers Slow Burn Romance Unrequited Love Adapted From A Novel Mother-Daughter Relationship Father-Son Relationship High School To College High School To Working Life,Sha Wei Qi ,Jin Yuan Yuan 
Vincenzo: Special,South Korea ,1,8.4,543,"Special episode released for Vincenzo (2021). This episode contains interviews with the cast, behind the scene footage, and bloopers ",Documentary ,Cast Interview Behind The Scenes,Kim Hee Won ,Park Jae Bum 
Miss Granny,South Korea ,,8.4,"6,802","Oh Mal Soon is a 74-year-old widow that realizes she is becoming a burden on her family. As she is roaming the streets, she comes across a photo studio and dresses up for a self-portrait. When she walks out, she mysteriously regains her physical appearance from the age of 20. Making the most out of this one in a lifetime opportunity, she changes her name to Oh Doo Ri and decides to enjoy the best out of her youth…
(Source: CJ Entertainment)","Music,  Comedy,  Drama,  Supernatural ",Second Chance Becoming Young Ageism Singing Band Social Issues Slice Of Life Supernatural Phenomena Family,er & Director: Hwang Dong Hyuk ,"Dong Hee Seon,  Shin Dong Ik "
Red Cliff 2,China ,,8.4,"1,307","Bitter over an unforeseen defeat to rival states Shu and Wu, Cao Cao of the Wei Kingdom is confident that his million-man fleet will crush the under-manned alliance once and for all.
An epidemic and seasickness cripple Cao Cao's men, however, postponing D-day. Gen. Zhou Yu and strategist Zhu Ge Liang take the time to demoralize their enemy and trick Cao Cao into practically giving them 100,000 arrows and even beheading his top generals.
Nevertheless, the allies are still seriously outnumbered and can only increase their chances of winning by attacking with fire. A northwester, however, compromises their plan, as the flames would blowback in their direction. Zhu Ge Liang, foreseeing an astronomical movement that will change the circumstances, urges the allies to postpone the attack. Meanwhile, Xiao Qiao, Zhou Yu's beautiful wife whom Cao Cao lusts after, heads to the enemy line with a plan of her own.","Action,  Historical,  Drama,  War ",Historical Fiction Strong Male Lead Three Kingdoms Smart Male Lead,er & Director: John Woo ,
Love Me If You Dare,China ,24,8.4,"13,474","Getting inside the head of a violent criminal is not easy. But Simon, Bo Jinyan, a brilliant criminal psychologist, has the ability to get into the minds of even the most mysterious and violent criminals. He was a professor at The University of Maryland and works as an analyst and advisor on the police department’s most violent or difficult cases. With the help of his young assistant, Jenny Jian Yao, Simon delves into the thoughts and intentions of the criminal mind. As the daughter of a veteran police investigator with a deep sense of justice, can Jenny help Simon open up emotionally as they work together to solve crimes? 

~~ Adapted from the novel “Close Your Eyes, Stay Close to Me” by Ding Mo.","Thriller,  Mystery,  Psychological,  Romance ",Tragic Past Murder Adapted From A Novel Investigation Sherlock And Watson Eccentric Male Lead Rich Man/Poor Woman Bromance Criminal Profiler Male Lead Detective Fiction,Zhang Kai Zhou ,Hai Yan 
Way Back Home,South Korea ,,8.4,860,"Jung Yeon is a caring wife and mother and a sensitive woman who finds herself plunged into a legal ordeal thousands of miles from home. After years of planning, she and her husband Jong Bae open an auto body repair shop, only to see everything they’ve worked for stripped away when a loan Jong Bae had guaranteed defaults. Facing financial despondency, the couple gets into a vicious fight about money, sending Jung Yeon away, leaving only a cryptic note saying she’ll be back in a few days. When she turns up looking nervous at Orly airport in Paris with over 30 kilograms of cocaine in her luggage, it is the beginning of a globe-spanning nightmare that began with an old friend and a tempting proposition.

(Source: CJ Entertainment)",Drama ,Prison Setting Filmed Abroad Drug Smuggling Based On True Story Family,Bang Eun Jin ,"Yoon Jin Ho,  Lee Jung Hwa,  Shin Dong Seon "
INFINITE's Ranking King,South Korea ,15,8.4,346,"Infinite is back with a new album and a new show airing May 23rd called ""Ranking King."" The boys have a mock 'first meeting' in a remote-looking village and then compete with each other to determine the rankings among their group. Unlike their handsome, fierce looks onstage, Infinite is actually a very cute and ""milky"" group of boys who share much laughter together. ","Adventure,  Music,  Youth,  Sports ",INFINITE K-Pop Variety Show Competition Friendship,,
Hello Stranger: The Movie,Philippines ,,8.4,"1,905","ARE.YOU.READY?

The XavMi craze continues as a writing camp takes the virtual kilig to the real world! Come and join the old gang, along with exciting new characters, as they celebrate youth and all forms of love this Valentine's Day!

(Source: Black Sheep) ","Comedy,  Romance,  Drama ",Gay Male Lead Gay Romance Bisexual Male Lead LGBTQ+ Flashback To Past Student Male Lead Jealousy Secondary Couple Unrequited Love Student Supporting Character,Dwein Baltazar ,Patrick R. Valencia 
